Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Segment,Region,State,City,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Inventory_Days,Unit_Cost,Selling_Price,Stock_Level,Supplier,Season
ORD00018,2023-10-20,2023-10-24,CUST1936,Customer_26,Home Office,Central,IL,Chicago,Technology,Monitor,Monitor Model 588,196,4,0.2,12.96,12,35.96,49,180,Supplier B,Autumn
ORD00019,2023-02-28,2023-03-05,CUST1651,Customer_42,Corporate,East,NY,New York,Technology,Printer,Printer Model 773,730,2,0.05,218.32,77,237.59,365,146,Supplier C,Winter
ORD00020,2023-09-25,2023-09-27,CUST8508,Customer_289,Consumer,South,TX,Houston,Furniture,Table,Table Model 175,1089,3,0.1,256.68,14,241.14,363,24,Supplier B,Autumn
ORD00021,2024-06-02,2024-06-05,CUST9666,Customer_5,Home Office,West,WA,Seattle,Technology,Laptop,Laptop Model 936,990,6,0.05,287.52,74,108.83,165,174,Supplier C,Monsoon
ORD00022,2024-11-10,2024-11-11,CUST4335,Customer_136,Home Office,West,WA,Seattle,Technology,Laptop,Laptop Model 600,891,9,0.1,249.12,31,61.42,99,195,Supplier C,Autumn
ORD00023,2023-02-22,2023-02-23,CUST8239,Customer_283,Home Office,Central,OH,Columbus,Technology,Laptop,Laptop Model 537,2484,6,0.05,597.96,38,293.64,414,102,Supplier A,Winter
ORD00024,2023-04-25,2023-04-26,CUST1653,Customer_184,Consumer,West,CA,Los Angeles,Furniture,Bookcase,Bookcase Model 798,855,9,0.15,229.23,44,55.28,95,206,Supplier B,Summer
ORD00025,2024-11-13,2024-11-14,CUST1406,Customer_92,Home Office,South,FL,Miami,Office Supplies,Pen,Pen Model 440,1479,3,0.05,271.92,27,377.71,493,231,Supplier D,Autumn
ORD00026,2024-11-16,2024-11-23,CUST8541,Customer_180,Corporate,West,WA,Seattle,Technology,Printer,Printer Model 940,430,2,0.0,101.2,33,164.4,215,122,Supplier B,Autumn
ORD00027,2023-08-17,2023-08-18,CUST9785,Customer_170,Consumer,West,WA,Seattle,Furniture,Table,Table Model 218,830,2,0.1,217.64,70,264.68,415,224,Supplier C,Monsoon
ORD00028,2023-07-02,2023-07-07,CUST7311,Customer_296,Consumer,South,TX,Houston,Technology,Printer,Printer Model 360,1372,7,0.1,330.54,70,129.18,196,79,Supplier A,Monsoon
ORD00029,2024-12-26,2024-12-30,CUST5920,Customer_260,Corporate,East,NY,New York,Furniture,Table,Table Model 782,720,2,0.1,139.84,89,254.08,360,83,Supplier D,Winter
ORD00030,2023-12-01,2023-12-05,CUST9977,Customer_1,Corporate,South,TX,Houston,Technology,Monitor,Monitor Model 393,2562,7,0.05,630.56,43,257.62,366,227,Supplier B,Winter
ORD00031,2024-03-16,2024-03-23,CUST5649,Customer_264,Home Office,South,FL,Miami,Furniture,Table,Table Model 748,1124,4,0.15,114.16,26,210.31,281,63,Supplier C,Summer
ORD00032,2023-04-06,2023-04-13,CUST8461,Customer_213,Home Office,West,WA,Seattle,Technology,Laptop,Laptop Model 689,96,3,0.0,37.32,65,19.56,32,57,Supplier B,Summer
ORD00033,2024-12-14,2024-12-18,CUST9486,Customer_238,Consumer,Central,OH,Columbus,Technology,Laptop,Laptop Model 670,477,1,0.0,121.82,33,355.18,477,110,Supplier B,Winter
ORD00034,2023-05-05,2023-05-09,CUST7991,Customer_281,Corporate,West,WA,Seattle,Office Supplies,Pen,Pen Model 262,2916,9,0.1,328.05,61,255.15,324,278,Supplier D,Summer
ORD00035,2024-04-05,2024-04-08,CUST5451,Customer_172,Corporate,West,WA,Seattle,Office Supplies,Binder,Binder Model 653,640,4,0.15,179.6,41,91.1,160,140,Supplier A,Summer
ORD00036,2023-05-22,2023-05-24,CUST7812,Customer_32,Consumer,West,WA,Seattle,Office Supplies,Paper,Paper Model 952,208,4,0.15,41.2,74,33.9,52,258,Supplier D,Summer
ORD00037,2024-02-03,2024-02-10,CUST9947,Customer_113,Corporate,East,MA,Boston,Furniture,Chair,Chair Model 324,1032,6,0.15,89.4,58,131.3,172,295,Supplier C,Winter
ORD00038,2024-03-22,2024-03-26,CUST1441,Customer_202,Home Office,East,MA,Boston,Furniture,Bookcase,Bookcase Model 677,2730,7,0.05,518.35,21,296.45,390,293,Supplier A,Summer
ORD00039,2023-03-27,2023-04-02,CUST6529,Customer_195,Corporate,Central,IL,Chicago,Furniture,Chair,Chair Model 870,153,1,0.15,33.38,63,96.67,153,187,Supplier D,Summer
ORD00040,2023-09-16,2023-09-23,CUST1508,Customer_127,Consumer,East,MA,Boston,Technology,Printer,Printer Model 959,414,9,0.1,121.68,13,27.88,46,40,Supplier A,Autumn
ORD00041,2024-09-28,2024-09-30,CUST3749,Customer_59,Consumer,West,CA,Los Angeles,Furniture,Bookcase,Bookcase Model 418,616,2,0.05,174.78,37,205.21,308,208,Supplier A,Autumn
ORD00042,2024-08-15,2024-08-16,CUST2669,Customer_155,Home Office,South,FL,Miami,Furniture,Bookcase,Bookcase Model 714,232,4,0.2,17.96,85,41.91,58,144,Supplier A,Monsoon
ORD00043,2024-08-02,2024-08-09,CUST9031,Customer_55,Corporate,East,MA,Boston,Office Supplies,Binder,Binder Model 470,330,6,0.2,29.1,6,39.15,55,235,Supplier D,Monsoon
ORD00044,2024-12-25,2024-12-27,CUST5397,Customer_166,Consumer,Central,IL,Chicago,Office Supplies,Pen,Pen Model 950,1675,5,0.2,94.35,64,249.13,335,243,Supplier A,Winter
ORD00045,2023-10-13,2023-10-17,CUST8988,Customer_109,Corporate,West,WA,Seattle,Office Supplies,Pen,Pen Model 916,1344,7,0.0,438.69,46,129.33,192,113,Supplier C,Autumn
ORD00046,2023-12-15,2023-12-18,CUST9041,Customer_230,Consumer,South,TX,Houston,Office Supplies,Paper,Paper Model 195,286,2,0.15,50.86,35,96.12,143,263,Supplier C,Winter
ORD00047,2023-08-15,2023-08-19,CUST6764,Customer_233,Corporate,West,WA,Seattle,Office Supplies,Pen,Pen Model 413,1572,6,0.2,184.32,59,178.88,262,189,Supplier C,Monsoon
ORD00048,2023-08-25,2023-08-26,CUST9595,Customer_145,Consumer,West,WA,Seattle,Technology,Printer,Printer Model 952,3690,9,0.05,1299.33,66,245.13,410,161,Supplier B,Monsoon
ORD00049,2023-10-31,2023-11-02,CUST3068,Customer_252,Consumer,South,TX,Houston,Furniture,Chair,Chair Model 993,756,9,0.1,255.96,11,47.16,84,169,Supplier A,Autumn
ORD00050,2024-08-10,2024-08-13,CUST2070,Customer_206,Corporate,Central,OH,Columbus,Furniture,Table,Table Model 175,138,3,0.1,15.84,66,36.12,46,78,Supplier A,Monsoon
ORD00051,2023-06-05,2023-06-07,CUST9561,Customer_195,Corporate,South,TX,Houston,Technology,Laptop,Laptop Model 553,3699,9,0.15,549.0,84,288.35,411,135,Supplier C,Monsoon
ORD00052,2024-08-25,2024-08-29,CUST3573,Customer_123,Consumer,South,TX,Houston,Office Supplies,Pen,Pen Model 665,820,2,0.05,199.76,38,289.62,410,61,Supplier A,Monsoon
ORD00053,2023-06-10,2023-06-11,CUST2166,Customer_120,Corporate,Central,OH,Columbus,Office Supplies,Pen,Pen Model 906,1352,8,0.0,530.16,41,102.73,169,252,Supplier B,Monsoon
ORD00054,2024-03-11,2024-03-12,CUST8195,Customer_64,Corporate,West,CA,Los Angeles,Furniture,Chair,Chair Model 805,100,2,0.05,20.18,81,37.41,50,167,Supplier C,Summer
ORD00055,2024-12-17,2024-12-21,CUST1423,Customer_47,Consumer,South,FL,Miami,Furniture,Chair,Chair Model 790,400,10,0.15,46.5,82,29.35,40,148,Supplier A,Winter
ORD00056,2024-11-19,2024-11-26,CUST9056,Customer_47,Corporate,South,TX,Houston,Technology,Monitor,Monitor Model 456,3177,9,0.15,225.54,28,274.99,353,243,Supplier D,Autumn
ORD00057,2023-12-08,2023-12-11,CUST8451,Customer_46,Corporate,East,NY,New York,Furniture,Table,Table Model 358,1336,8,0.15,129.04,75,125.82,167,38,Supplier C,Winter
ORD00058,2023-04-29,2023-05-06,CUST8242,Customer_27,Consumer,Central,IL,Chicago,Office Supplies,Pen,Pen Model 373,1848,8,0.0,744.96,51,137.88,231,275,Supplier B,Summer
ORD00059,2023-10-22,2023-10-26,CUST7684,Customer_48,Consumer,Central,IL,Chicago,Technology,Printer,Printer Model 961,4290,10,0.05,954.8,44,312.07,429,27,Supplier A,Autumn
ORD00060,2024-04-17,2024-04-18,CUST4993,Customer_234,Home Office,West,WA,Seattle,Office Supplies,Binder,Binder Model 248,3429,9,0.1,843.93,66,249.13,381,261,Supplier D,Summer
ORD00061,2023-07-15,2023-07-20,CUST5891,Customer_297,Home Office,West,CA,Los Angeles,Furniture,Table,Table Model 601,2988,6,0.2,547.44,5,307.16,498,164,Supplier B,Monsoon
ORD00062,2024-04-02,2024-04-07,CUST7274,Customer_120,Corporate,Central,OH,Columbus,Furniture,Bookcase,Bookcase Model 144,1917,9,0.15,128.07,29,166.82,213,142,Supplier C,Summer
ORD00063,2024-04-29,2024-05-05,CUST2644,Customer_226,Consumer,Central,OH,Columbus,Office Supplies,Pen,Pen Model 638,819,3,0.0,342.69,80,158.77,273,189,Supplier D,Summer
ORD00064,2023-01-16,2023-01-22,CUST6383,Customer_274,Corporate,West,WA,Seattle,Office Supplies,Paper,Paper Model 424,520,2,0.1,137.98,55,165.01,260,61,Supplier D,Winter
ORD00065,2024-07-08,2024-07-09,CUST8269,Customer_86,Home Office,East,NY,New York,Office Supplies,Pen,Pen Model 406,680,5,0.0,232.2,17,89.56,136,71,Supplier A,Monsoon
ORD00066,2023-02-17,2023-02-20,CUST3785,Customer_90,Consumer,East,MA,Boston,Furniture,Table,Table Model 724,658,7,0.05,175.84,77,64.18,94,112,Supplier D,Winter
ORD00067,2024-09-26,2024-10-02,CUST8622,Customer_148,Home Office,West,WA,Seattle,Office Supplies,Paper,Paper Model 659,1024,4,0.1,240.76,90,170.21,256,24,Supplier B,Autumn
ORD00068,2023-03-17,2023-03-21,CUST2747,Customer_122,Corporate,South,FL,Miami,Office Supplies,Binder,Binder Model 685,1265,5,0.1,379.75,54,151.75,253,267,Supplier C,Summer
ORD00069,2024-08-11,2024-08-14,CUST5689,Customer_118,Home Office,South,TX,Houston,Office Supplies,Binder,Binder Model 921,120,5,0.2,4.05,11,18.39,24,274,Supplier C,Monsoon
ORD00070,2023-08-13,2023-08-19,CUST6061,Customer_226,Consumer,West,WA,Seattle,Office Supplies,Pen,Pen Model 693,1023,3,0.0,229.29,87,264.57,341,40,Supplier C,Monsoon
ORD00071,2023-05-15,2023-05-16,CUST9221,Customer_140,Consumer,South,FL,Miami,Office Supplies,Binder,Binder Model 363,366,3,0.05,74.43,51,91.09,122,291,Supplier D,Summer
ORD00072,2023-10-30,2023-11-05,CUST2479,Customer_203,Consumer,South,TX,Houston,Furniture,Chair,Chair Model 370,1218,3,0.05,225.3,55,310.6,406,207,Supplier A,Autumn
ORD00073,2024-04-10,2024-04-13,CUST4626,Customer_33,Home Office,South,FL,Miami,Office Supplies,Binder,Binder Model 943,730,2,0.05,205.96,84,243.77,365,187,Supplier D,Summer
ORD00074,2024-12-18,2024-12-21,CUST3222,Customer_199,Corporate,Central,IL,Chicago,Technology,Laptop,Laptop Model 479,175,1,0.15,47.42,35,101.33,175,295,Supplier D,Winter
ORD00075,2024-08-24,2024-08-30,CUST7070,Customer_112,Corporate,West,WA,Seattle,Office Supplies,Paper,Paper Model 555,2680,8,0.15,174.8,40,262.9,335,36,Supplier B,Monsoon
ORD00076,2024-01-07,2024-01-08,CUST4475,Customer_11,Consumer,South,FL,Miami,Technology,Monitor,Monitor Model 905,585,5,0.0,124.45,63,92.11,117,66,Supplier C,Winter
ORD00077,2023-09-07,2023-09-09,CUST5542,Customer_75,Consumer,West,CA,Los Angeles,Office Supplies,Paper,Paper Model 653,1300,10,0.05,413.2,23,82.18,130,21,Supplier C,Autumn
ORD00078,2023-06-28,2023-06-29,CUST3076,Customer_216,Home Office,East,NY,New York,Technology,Monitor,Monitor Model 216,1284,4,0.1,444.32,38,177.82,321,46,Supplier A,Monsoon
ORD00079,2024-05-02,2024-05-06,CUST5941,Customer_235,Home Office,South,TX,Houston,Furniture,Bookcase,Bookcase Model 131,1336,4,0.0,358.32,89,244.42,334,286,Supplier A,Summer
ORD00080,2024-05-05,2024-05-12,CUST3430,Customer_34,Consumer,Central,OH,Columbus,Office Supplies,Paper,Paper Model 381,3072,8,0.15,865.12,15,218.26,384,184,Supplier C,Summer
ORD00081,2024-01-26,2024-01-31,CUST8046,Customer_232,Consumer,South,FL,Miami,Office Supplies,Pen,Pen Model 523,490,7,0.0,116.06,88,53.42,70,130,Supplier C,Winter
ORD00082,2024-04-09,2024-04-13,CUST2099,Customer_47,Consumer,Central,IL,Chicago,Furniture,Table,Table Model 195,2160,6,0.1,553.86,24,231.69,360,262,Supplier D,Summer
ORD00083,2023-04-09,2023-04-15,CUST6793,Customer_217,Home Office,South,TX,Houston,Office Supplies,Paper,Paper Model 152,3070,10,0.2,514.5,20,194.15,307,230,Supplier C,Summer
ORD00084,2024-09-06,2024-09-09,CUST7022,Customer_59,Corporate,South,TX,Houston,Office Supplies,Pen,Pen Model 687,396,4,0.15,96.6,18,60.0,99,199,Supplier B,Autumn
ORD00085,2024-03-15,2024-03-22,CUST3972,Customer_74,Home Office,East,MA,Boston,Technology,Laptop,Laptop Model 773,1895,5,0.1,226.65,49,295.77,379,23,Supplier D,Summer
ORD00086,2023-03-13,2023-03-15,CUST6105,Customer_167,Home Office,East,NY,New York,Office Supplies,Pen,Pen Model 710,848,4,0.15,158.24,25,140.64,212,209,Supplier A,Summer
ORD00087,2023-02-23,2023-02-25,CUST5475,Customer_111,Home Office,West,CA,Los Angeles,Office Supplies,Paper,Paper Model 216,1230,5,0.15,219.65,61,165.17,246,232,Supplier C,Winter
ORD00088,2024-03-16,2024-03-17,CUST1125,Customer_105,Corporate,South,FL,Miami,Office Supplies,Pen,Pen Model 316,215,5,0.05,64.75,81,27.9,43,48,Supplier B,Summer
ORD00089,2023-09-19,2023-09-22,CUST6802,Customer_37,Corporate,South,TX,Houston,Technology,Monitor,Monitor Model 982,763,7,0.05,232.68,34,70.31,109,276,Supplier A,Autumn
ORD00090,2024-03-22,2024-03-23,CUST2887,Customer_208,Consumer,Central,IL,Chicago,Furniture,Bookcase,Bookcase Model 432,2191,7,0.15,268.66,58,227.67,313,168,Supplier B,Summer
ORD00091,2024-09-24,2024-09-28,CUST6083,Customer_174,Consumer,South,TX,Houston,Furniture,Chair,Chair Model 441,972,4,0.2,145.68,15,157.98,243,222,Supplier B,Autumn
ORD00092,2023-03-20,2023-03-25,CUST3504,Customer_39,Consumer,East,NY,New York,Furniture,Table,Table Model 891,420,3,0.0,173.61,30,82.13,140,108,Supplier D,Summer
ORD00093,2024-04-20,2024-04-27,CUST5500,Customer_29,Corporate,Central,OH,Columbus,Office Supplies,Binder,Binder Model 619,735,3,0.0,244.59,85,163.47,245,175,Supplier A,Summer
ORD00094,2023-11-14,2023-11-18,CUST8581,Customer_298,Home Office,Central,IL,Chicago,Technology,Monitor,Monitor Model 910,295,5,0.0,87.4,69,41.52,59,216,Supplier A,Autumn
ORD00095,2024-04-05,2024-04-12,CUST9266,Customer_89,Consumer,West,WA,Seattle,Office Supplies,Binder,Binder Model 353,873,9,0.0,294.48,48,64.28,97,63,Supplier D,Summer
ORD00096,2024-03-25,2024-03-30,CUST2079,Customer_169,Consumer,West,WA,Seattle,Furniture,Table,Table Model 671,1603,7,0.1,288.96,11,164.82,229,191,Supplier D,Summer
ORD00097,2023-10-18,2023-10-21,CUST3112,Customer_44,Corporate,West,WA,Seattle,Technology,Printer,Printer Model 672,1467,3,0.1,399.66,88,306.88,489,220,Supplier D,Autumn
ORD00098,2024-10-20,2024-10-27,CUST6060,Customer_93,Consumer,South,TX,Houston,Office Supplies,Pen,Pen Model 449,603,9,0.15,104.22,7,45.37,67,205,Supplier D,Autumn
ORD00099,2023-07-16,2023-07-18,CUST6517,Customer_68,Home Office,West,CA,Los Angeles,Technology,Monitor,Monitor Model 485,558,2,0.2,23.0,72,211.7,279,39,Supplier B,Monsoon
ORD00100,2023-06-16,2023-06-18,CUST8355,Customer_120,Home Office,West,WA,Seattle,Technology,Monitor,Monitor Model 344,2196,6,0.05,346.08,83,290.02,366,165,Supplier C,Monsoon
ORD00101,2024-04-25,2024-05-02,CUST7859,Customer_83,Consumer,West,WA,Seattle,Office Supplies,Pen,Pen Model 920,2048,8,0.1,318.4,69,190.6,256,290,Supplier B,Summer
ORD00102,2023-09-14,2023-09-15,CUST8361,Customer_263,Consumer,Central,OH,Columbus,Office Supplies,Paper,Paper Model 950,4095,9,0.0,1550.88,25,282.68,455,159,Supplier D,Autumn
ORD00103,2023-04-04,2023-04-06,CUST7142,Customer_115,Consumer,Central,OH,Columbus,Technology,Monitor,Monitor Model 426,222,1,0.2,34.75,54,142.85,222,61,Supplier A,Summer
ORD00104,2024-10-27,2024-10-30,CUST1086,Customer_41,Consumer,West,CA,Los Angeles,Technology,Monitor,Monitor Model 362,3008,8,0.05,632.56,65,278.13,376,249,Supplier B,Autumn
ORD00105,2023-06-03,2023-06-08,CUST2029,Customer_57,Corporate,Central,IL,Chicago,Furniture,Chair,Chair Model 711,410,5,0.0,160.05,86,49.99,82,254,Supplier A,Monsoon
ORD00106,2024-10-09,2024-10-14,CUST2402,Customer_269,Corporate,West,CA,Los Angeles,Furniture,Table,Table Model 169,334,1,0.1,96.81,58,203.79,334,115,Supplier A,Autumn
ORD00107,2024-02-04,2024-02-11,CUST4950,Customer_54,Home Office,Central,IL,Chicago,Office Supplies,Binder,Binder Model 852,894,6,0.0,322.5,13,95.25,149,196,Supplier C,Winter
ORD00108,2023-05-17,2023-05-18,CUST8498,Customer_19,Corporate,South,FL,Miami,Office Supplies,Paper,Paper Model 306,3008,8,0.15,427.36,22,266.18,376,52,Supplier A,Summer
ORD00109,2023-07-24,2023-07-25,CUST5687,Customer_183,Consumer,South,FL,Miami,Office Supplies,Binder,Binder Model 986,2358,9,0.1,803.7,87,146.5,262,117,Supplier C,Monsoon
ORD00110,2023-10-07,2023-10-08,CUST9151,Customer_189,Home Office,South,FL,Miami,Furniture,Bookcase,Bookcase Model 373,3824,8,0.15,823.12,28,303.41,478,274,Supplier A,Autumn
ORD00111,2024-03-10,2024-03-11,CUST8305,Customer_219,Consumer,Central,IL,Chicago,Office Supplies,Binder,Binder Model 806,432,6,0.0,159.0,42,45.5,72,176,Supplier D,Summer
ORD00112,2023-12-26,2023-12-30,CUST6952,Customer_263,Home Office,East,MA,Boston,Office Supplies,Binder,Binder Model 795,1735,5,0.0,748.2,86,197.36,347,227,Supplier B,Winter
ORD00113,2023-02-01,2023-02-03,CUST3513,Customer_231,Corporate,Central,IL,Chicago,Technology,Laptop,Laptop Model 480,1672,4,0.1,433.84,77,267.74,418,36,Supplier D,Winter
ORD00114,2023-03-20,2023-03-25,CUST9482,Customer_199,Home Office,West,WA,Seattle,Furniture,Table,Table Model 220,735,5,0.0,326.0,28,81.8,147,275,Supplier C,Summer
ORD00115,2023-09-24,2023-09-30,CUST3828,Customer_228,Consumer,Central,IL,Chicago,Office Supplies,Binder,Binder Model 929,976,8,0.0,406.08,14,71.24,122,251,Supplier C,Autumn
ORD00116,2024-11-14,2024-11-17,CUST3275,Customer_122,Corporate,East,MA,Boston,Furniture,Chair,Chair Model 126,1278,3,0.1,284.76,20,288.48,426,122,Supplier C,Autumn
ORD00117,2024-07-21,2024-07-26,CUST9612,Customer_211,Corporate,South,FL,Miami,Office Supplies,Paper,Paper Model 943,4720,10,0.0,2046.4,55,267.36,472,265,Supplier A,Monsoon
ORD00118,2023-05-09,2023-05-12,CUST3114,Customer_222,Home Office,East,MA,Boston,Furniture,Bookcase,Bookcase Model 989,1764,9,0.05,318.42,75,150.82,196,113,Supplier A,Summer
ORD00119,2023-05-08,2023-05-13,CUST2292,Customer_129,Consumer,West,WA,Seattle,Technology,Laptop,Laptop Model 750,2988,6,0.05,936.72,71,316.98,498,165,Supplier C,Summer
ORD00120,2023-05-09,2023-05-15,CUST1674,Customer_15,Consumer,South,TX,Houston,Office Supplies,Pen,Pen Model 146,969,3,0.2,204.9,89,190.1,323,192,Supplier C,Summer
ORD00121,2024-10-28,2024-10-30,CUST8430,Customer_38,Home Office,Central,IL,Chicago,Furniture,Bookcase,Bookcase Model 161,1512,9,0.1,346.68,56,112.68,168,172,Supplier B,Autumn
ORD00122,2024-03-26,2024-03-30,CUST7532,Customer_67,Corporate,Central,OH,Columbus,Technology,Monitor,Monitor Model 627,930,10,0.1,125.2,45,71.18,93,196,Supplier A,Summer
ORD00123,2023-11-23,2023-11-25,CUST5067,Customer_82,Corporate,Central,IL,Chicago,Furniture,Table,Table Model 691,368,4,0.0,160.96,54,51.76,92,234,Supplier C,Autumn
ORD00124,2023-07-14,2023-07-21,CUST9281,Customer_235,Consumer,West,WA,Seattle,Office Supplies,Binder,Binder Model 320,3760,8,0.1,848.48,16,316.94,470,221,Supplier C,Monsoon
ORD00125,2023-02-19,2023-02-20,CUST3194,Customer_136,Home Office,South,FL,Miami,Office Supplies,Pen,Pen Model 474,1328,8,0.2,329.28,18,91.64,166,240,Supplier D,Winter
ORD00126,2024-01-10,2024-01-11,CUST8378,Customer_282,Corporate,Central,IL,Chicago,Office Supplies,Pen,Pen Model 945,820,4,0.2,145.84,54,127.54,205,278,Supplier A,Winter
ORD00127,2023-05-12,2023-05-13,CUST9193,Customer_21,Consumer,Central,OH,Columbus,Furniture,Bookcase,Bookcase Model 139,2436,6,0.05,853.2,70,243.5,406,225,Supplier B,Summer
ORD00128,2024-12-31,2025-01-03,CUST7438,Customer_154,Home Office,Central,OH,Columbus,Technology,Printer,Printer Model 444,819,9,0.1,95.94,45,71.24,91,103,Supplier D,Winter
ORD00129,2024-12-26,2024-12-31,CUST1436,Customer_243,Corporate,South,FL,Miami,Technology,Monitor,Monitor Model 771,2184,6,0.0,447.78,79,289.37,364,177,Supplier B,Winter
ORD00130,2023-02-22,2023-02-27,CUST2800,Customer_98,Consumer,Central,IL,Chicago,Office Supplies,Pen,Pen Model 551,4160,10,0.15,1094.3,36,244.17,416,36,Supplier C,Winter
ORD00131,2024-03-04,2024-03-06,CUST9498,Customer_107,Home Office,Central,IL,Chicago,Furniture,Bookcase,Bookcase Model 432,4910,10,0.15,401.6,12,377.19,491,90,Supplier D,Summer
ORD00132,2024-06-22,2024-06-26,CUST8932,Customer_99,Consumer,South,TX,Houston,Furniture,Bookcase,Bookcase Model 385,1794,6,0.1,324.78,87,214.97,299,155,Supplier C,Monsoon
ORD00133,2023-08-19,2023-08-22,CUST2996,Customer_294,Home Office,South,TX,Houston,Office Supplies,Pen,Pen Model 656,1456,8,0.15,309.84,40,115.97,182,167,Supplier D,Monsoon
ORD00134,2024-02-09,2024-02-16,CUST8849,Customer_110,Consumer,South,TX,Houston,Furniture,Chair,Chair Model 947,1925,5,0.0,699.55,61,245.09,385,151,Supplier C,Winter
ORD00135,2024-07-29,2024-08-04,CUST4814,Customer_27,Consumer,South,TX,Houston,Technology,Printer,Printer Model 523,1420,10,0.05,550.0,72,79.9,142,135,Supplier C,Monsoon
ORD00136,2024-04-28,2024-04-29,CUST6262,Customer_147,Home Office,West,CA,Los Angeles,Office Supplies,Paper,Paper Model 160,2478,7,0.15,447.65,30,236.95,354,167,Supplier A,Summer
ORD00137,2024-10-29,2024-11-03,CUST4052,Customer_149,Consumer,West,CA,Los Angeles,Technology,Monitor,Monitor Model 109,1494,3,0.0,299.85,55,398.05,498,273,Supplier C,Autumn
ORD00138,2024-08-04,2024-08-09,CUST8668,Customer_140,Consumer,East,MA,Boston,Furniture,Table,Table Model 928,2592,9,0.15,201.33,22,222.43,288,278,Supplier A,Monsoon
ORD00139,2023-12-05,2023-12-07,CUST3875,Customer_208,Corporate,Central,OH,Columbus,Office Supplies,Paper,Paper Model 627,397,1,0.1,60.47,77,296.83,397,118,Supplier C,Winter
ORD00140,2023-03-30,2023-04-03,CUST8319,Customer_137,Corporate,East,NY,New York,Technology,Monitor,Monitor Model 409,2994,6,0.05,1192.5,54,275.3,499,140,Supplier A,Summer
